"","Job_Title","Company","Location","Links"
"18","Data Scientist","Rubicon","Atlanta, GA 30326 (Lenox area)","/rc/clk?jk=6cc4dd071bf71e6d&fccid=8d8bde4f3caaae53&vjs=3"
"19","Data Scientist","Assuranceamerica Managing General","Atlanta, GA 30328","/rc/clk?jk=c4cf67593065f2df&fccid=d5a78cf96ea61229&vjs=3"
"20","Climate Data Scientist - Senior Manager","Deloitte","Atlanta, GA 30303 (Downtown area)","/rc/clk?jk=7b149fc8094e0a67&fccid=9e215d88a6b33622&vjs=3"
"21","Strategy, Data Specialist","Delta","Atlanta, GA","/rc/clk?jk=11763460d82e6675&fccid=3f721eb1d31080a6&vjs=3"
"22","Data Scientist / Engineer - Machine Learning (Entry-Level) -- EOSL","Georgia Tech Research Institute","Atlanta, GA","/rc/clk?jk=22617c9536e04c91&fccid=db25687464a9ecf6&vjs=3"
"23","Senior Data Scientist","Microsoft","Atlanta, GA","/rc/clk?jk=44ddb2027299d1b3&fccid=734cb5a01ee60f80&vjs=3"
"24","Business Marketing Data Scientist","Serta Simmons Bedding, LLC","Doraville, GA","/rc/clk?jk=0d2d76d837181c26&fccid=9f47810177ecb763&vjs=3"
"25","Technology Analyst Program - Application Development, Cyber Security, Infrastructure Engineering, Data Science and IT Project Management – Opportunities Available","Fiserv, Inc.","Alpharetta, GA","/rc/clk?jk=edbd1ed94cd93266&fccid=1ea0475711674f3b&vjs=3"
"26","Senior-Data Scientist","AT&T","Alpharetta, GA","/rc/clk?jk=9000881d6788a58d&fccid=25b5166547bbf543&vjs=3"
"27","Security Data Scientist","Microsoft","Atlanta, GA","/rc/clk?jk=b4e3ca4730508f82&fccid=734cb5a01ee60f80&vjs=3"
"28","Data scientist","Protos IT","Atlanta, GA 30333","/company/Protos-IT/jobs/Data-Scientist-c6d95cd918ad1764?fccid=9b65332259744a0f&vjs=3"
"29","Data Scientist","Renew Financial","Alpharetta, GA","/rc/clk?jk=fb19a862230ab3d2&fccid=17ca76175e4920db&vjs=3"
"30","Global Recruiting Data Scientist","The Boston Consulting Group","Atlanta, GA","/rc/clk?jk=7c725dc85f6a89f9&fccid=b95f9eb47968fa13&vjs=3"
"31","Environmental Data Manager/Data Scientist (Entry Level)","ERM Group","Atlanta, GA","/rc/clk?jk=43c219a6d701388b&fccid=3f0d5695925aa6ba&vjs=3"
"32","Global Recruiting Data Scientist","The Boston Consulting Group","Atlanta, GA","/rc/clk?jk=7c725dc85f6a89f9&fccid=b95f9eb47968fa13&vjs=3"
"33","Senior Data Scientist","Splunk","Atlanta, GA 30301 (Buckhead area)","/rc/clk?jk=85a6f6d2cc9d4bbe&fccid=aef928e89977f7f0&vjs=3"
